"id","original_code","error_type","error_message","error_line","target_action","fixed_code","complexity"
"26","let count = 3
print(count);","Syntactic","Expected ';' after variable declaration","1","INSERT_SEMICOLON","let count = 3;
print(count);","short"
"27","let max = 3;
let count = 0;
if (max > count) {
    print(""greater"");
    max = max - 1
} else {
    if (max == count) {
        print(""equal"");
    } else {
        print(""less"");
    }
}
print(max);","Syntactic","Expected ';' after assignment","5","INSERT_SEMICOLON","let max = 3;
let count = 0;
if (max > count) {
    print(""greater"");
    max = max - 1;
} else {
    if (max == count) {
        print(""equal"");
    } else {
        print(""less"");
    }
}
print(max);","long"
"28","let found = [10, 20, 30, 40, 50];
let j = 30;
let min = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (found[i] == j) {
        min = 1;
    }
}
if (min == 1) {
    print(""Found"";
} else {
    print(""Not Found"");
}","Syntactic","Expected ')'","10","INSERT_RPAREN","let found = [10, 20, 30, 40, 50];
let j = 30;
let min = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (found[i] == j) {
        min = 1;
    }
}
if (min == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","long"
"29","temp = 99;
if (temp > 5) {
    let arr = temp * 2;
    print(arr);
} else {
    print(temp);
}","Semantic","Variable 'temp' used before declaration","1","PREPEND_LET","let temp = 99;
if (temp > 5) {
    let arr = temp * 2;
    print(arr);
} else {
    print(temp);
}","medium"
"30","for (let max = 0; max < 10; max = max + 1) {
    let flag = max * 3;
    print(flag);
","Syntactic","Expected '}' to close block","4","INSERT_RBRACE","for (let max = 0; max < 10; max = max + 1) {
    let flag = max * 3;
    print(flag);
}","short"
"31","max = 0;
while (max < 0) {
    for (let k = 0; k < 20; k = k + 1) {
        print(k);
    }
    max = max + 1;
}
print(max);","Semantic","Variable 'max' used before declaration","1","PREPEND_LET","let max = 0;
while (max < 0) {
    for (let k = 0; k < 20; k = k + 1) {
        print(k);
    }
    max = max + 1;
}
print(max);","medium"
"32","let total = 0;
let total = 0;
for (let i = 0; i < 0; i = i + 1) {
    for (let j = 0; j < 2; j = j + 1) {
        total = total + 1;
    }
}
print(total);","Semantic","Variable 'total' already declared","2","REMOVE_LET_OR_RENAME","let total = 0;
total = 0;
for (let i = 0; i < 0; i = i + 1) {
    for (let j = 0; j < 2; j = j + 1) {
        total = total + 1;
    }
}
print(total);","medium"
"33","let name = 2;
let sum = 20;
if (name > sum) {
    print(""greater"");
    name = name - 1@;
} else {
    if (name == sum) {
        print(""equal"");
    } else {
        print(""less"");
    }
}
print(name);","Lexical","Unexpected character '@'","5","DELETE_CHAR_AT_INDEX","let name = 2;
let sum = 20;
if (name > sum) {
    print(""greater"");
    name = name - 1;
} else {
    if (name == sum) {
        print(""equal"");
    } else {
        print(""less"");
    }
}
print(name);","long"
"34","let y = 0;
let y = 0;
while (y < 20) {
    for (let k = 0; k < 7; k = k + 1) {
        print(k);
    }
    y = y + 1;
}
print(y);","Semantic","Variable 'y' already declared","2","REMOVE_LET_OR_RENAME","let y = 0;
y = 0;
while (y < 20) {
    for (let k = 0; k < 7; k = k + 1) {
        print(k);
    }
    y = y + 1;
}
print(y);","long"
"35","value = 0;
let limit = value * 2;
print(limit);","Semantic","Variable 'value' used before declaration","1","PREPEND_LET","let value = 0;
let limit = value * 2;
print(limit);","short"
"36","let data = 5;
let arr = 5;
if (data > arr) {
    print(""greater"");
    data = data - 1;
} else {
    if (data == arr) {
        print(""equal"");
    } else {
        print(""less"");
print(""hello);
}
print(data);","Lexical","Unterminated string","11","INSERT_QUOTE","let data = 5;
let arr = 5;
if (data > arr) {
    print(""greater"");
    data = data - 1;
} else {
    if (data == arr) {
        print(""equal"");
    } else {
        print(""less"");
print(""hello"");
}
print(data);","long"
"37","size = 0;
let index = 10;
let sum = 0;
while (size < index) {
    if (size > 5) {
        sum = sum + size;
    } else {
        sum = sum + index;
    }
    size = size + 1;
}
print(sum);","Semantic","Variable 'size' used before declaration","1","PREPEND_LET","let size = 0;
let index = 10;
let sum = 0;
while (size < index) {
    if (size > 5) {
        sum = sum + size;
    } else {
        sum = sum + index;
    }
    size = size + 1;
}
print(sum);","long"
"38","let value = [10, 20, 30, 40, 50];
let target = 30;
let found = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (value[i] == target) {
        found = 1;
    }
}
if (found == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
","Syntactic","Expected '}' to close block","13","INSERT_RBRACE","let value = [10, 20, 30, 40, 50];
let target = 30;
let found = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (value[i] == target) {
        found = 1;
    }
}
if (found == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","long"
"39","let n = 1;
if (n > 0) {
    print(n);
","Syntactic","Expected '}' to close block","4","INSERT_RBRACE","let n = 1;
if (n > 0) {
    print(n);
}","short"
"40","let count = 0;
let count = 0;
for (let i = 0; i < 7; i = i + 1) {
    for (let j = 0; j < 20; j = j + 1) {
        count = count + 1;
    }
}
print(count);","Semantic","Variable 'count' already declared","2","REMOVE_LET_OR_RENAME","let count = 0;
count = 0;
for (let i = 0; i < 7; i = i + 1) {
    for (let j = 0; j < 20; j = j + 1) {
        count = count + 1;
    }
}
print(count);","medium"
"41","let max = 0;
let max = 0;
while (max < 100) {
    print(max);
    max = max + 1;
}","Semantic","Variable 'max' already declared","2","REMOVE_LET_OR_RENAME","let max = 0;
max = 0;
while (max < 100) {
    print(max);
    max = max + 1;
}","medium"
"42","let result = 0$;
while (result < 1) {
    for (let k = 0; k < 1; k = k + 1) {
        print(k);
    }
    result = result + 1;
}
print(result);","Lexical","Unexpected character '$'","1","DELETE_CHAR_AT_INDEX","let result = 0;
while (result < 1) {
    for (let k = 0; k < 1; k = k + 1) {
        print(k);
    }
    result = result + 1;
}
print(result);","medium"
"43","let x = [10, 20, 30, 40, 50];
let count = 30;
let k = 0;
for (let i = 0; i < 5; i = i + 1 {
    if (x[i] == count) {
        k = 1;
    }
}
if (k == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","Syntactic","Expected ')'","4","INSERT_RPAREN","let x = [10, 20, 30, 40, 50];
let count = 30;
let k = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (x[i] == count) {
        k = 1;
    }
}
if (k == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","long"
"44","print(""hello);
if (i > 0) {
    print(i);
}","Lexical","Unterminated string","1","INSERT_QUOTE","print(""hello"");
if (i > 0) {
    print(i);
}","medium"
"45","let data = 1;
if (data < 5) {
    print(""low"");
} else {
    print(""high"";
}","Syntactic","Expected ')'","5","INSERT_RPAREN","let data = 1;
if (data < 5) {
    print(""low"");
} else {
    print(""high"");
}","medium"
"46","let arr = [10, 20, 30, 40, 50];
let total = 30;
let count = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (arr[i] == total) {
        count = 1;
    }
}
if (count == 1) {
    print(""Found"");
 else {
    print(""Not Found"");
}","Syntactic","Expected '}' to close block","11","INSERT_RBRACE","let arr = [10, 20, 30, 40, 50];
let total = 30;
let count = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (arr[i] == total) {
        count = 1;
    }
}
if (count == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","long"
"47","let i = 99;
let target = i * 2;
print(target;","Syntactic","Expected ')'","3","INSERT_RPAREN","let i = 99;
let target = i * 2;
print(target);","short"
"48","let player = [10, 20, 30, 40, 50];
let n = 30;
let j = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (player[i] == n) {&
        j = 1;
    }
}
if (j == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","Lexical","Unexpected character '&'","5","DELETE_CHAR_AT_INDEX","let player = [10, 20, 30, 40, 50];
let n = 30;
let j = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (player[i] == n) {
        j = 1;
    }
}
if (j == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","long"
"49","let score = 99;
let k = 0;
while (k < score) {
    k = k + 1;
}
print(k;","Syntactic","Expected ')'","6","INSERT_RPAREN","let score = 99;
let k = 0;
while (k < score) {
    k = k + 1;
}
print(k);","medium"
"50","let arr = 15;
if (arr < 5) {
    print(""low"")
} else {
    print(""high"");
}","Syntactic","Expected ';' after print statement","3","INSERT_SEMICOLON","let arr = 15;
if (arr < 5) {
    print(""low"");
} else {
    print(""high"");
}","medium"
"51","let target = [10, 20, 30, 40, 50];
let target = [10, 20, 30, 40, 50];
let y = 30;
let i = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (target[i] == y) {
        i = 1;
    }
}
if (i == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","Semantic","Variable 'target' already declared","2","REMOVE_LET_OR_RENAME","let target = [10, 20, 30, 40, 50];
target = [10, 20, 30, 40, 50];
let y = 30;
let i = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (target[i] == y) {
        i = 1;
    }
}
if (i == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","long"
"52","let data = [10, 20, 30, 40, 50];
let data = [10, 20, 30, 40, 50];
let size = 30;
let score = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (data[i] == size) {
        score = 1;
    }
}
if (score == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","Semantic","Variable 'data' already declared","2","REMOVE_LET_OR_RENAME","let data = [10, 20, 30, 40, 50];
data = [10, 20, 30, 40, 50];
let size = 30;
let score = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (data[i] == size) {
        score = 1;
    }
}
if (score == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","long"
"53","let arr = [42, 20, 0, 5, 9];
let max = 0;
print(""hello);
    if (arr[j] > max) {
        max = arr[j];
    }
}
let x = max;
print(x);
if (x == 0) {
    print(""Zero"");
}","Lexical","Unterminated string","3","INSERT_QUOTE","let arr = [42, 20, 0, 5, 9];
let max = 0;
print(""hello"");
    if (arr[j] > max) {
        max = arr[j];
    }
}
let x = max;
print(x);
if (x == 0) {
    print(""Zero"");
}","long"
"54","temp = 99;
print(temp);","Semantic","Variable 'temp' used before declaration","1","PREPEND_LET","let temp = 99;
print(temp);","short"
"55","print(""hello);
for (let i = 0; i < 15; i = i + 1) {
    for (let j = 0; j < 3; j = j + 1) {
        found = found + 1;
    }
}
print(found);","Lexical","Unterminated string","1","INSERT_QUOTE","print(""hello"");
for (let i = 0; i < 15; i = i + 1) {
    for (let j = 0; j < 3; j = j + 1) {
        found = found + 1;
    }
}
print(found);","medium"
"56","for (let arr = 0; arr < 5; arr = arr + 1) {
    if (arr > 2) {
        print(arr);
    }
","Syntactic","Expected '}' to close block","5","INSERT_RBRACE","for (let arr = 0; arr < 5; arr = arr + 1) {
    if (arr > 2) {
        print(arr);
    }
}","medium"
"57","let arr = 20;
let y = arr * 2
print(y);","Syntactic","Expected ';' after variable declaration","2","INSERT_SEMICOLON","let arr = 20;
let y = arr * 2;
print(y);","short"
"58","let arr = [20, 15, 0, 5, 9];
let max = 0;
max[0] = 1;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let k = max;
print(k);
if (k == 0) {
    print(""Zero"");
}","Semantic","'max' is not an array","3","MAKE_ARRAY","let arr = [20, 15, 0, 5, 9];
let max = [0, 0];
max[0] = 1;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let k = max;
print(k);
if (k == 0) {
    print(""Zero"");
}","long"
"59","flag = 100;
print(flag);","Semantic","Variable 'flag' used before declaration","1","PREPEND_LET","let flag = 100;
print(flag);","short"
"60","target = 0;
if (target > 5) {
    let player = target * 2;
    print(player);
} else {
    print(target);
}","Semantic","Variable 'target' used before declaration","1","PREPEND_LET","let target = 0;
if (target > 5) {
    let player = target * 2;
    print(player);
} else {
    print(target);
}","medium"
"61","let n = 99
print(n);","Syntactic","Expected ';' after variable declaration","1","INSERT_SEMICOLON","let n = 99;
print(n);","short"
"62","let max = 0;
for (let i = 0; i < 3; i = i + 1) {
    for (let j = 0; j < 0; j = j + 1) {
        max = max + 1
    }
}
print(max);","Syntactic","Expected ';' after assignment","4","INSERT_SEMICOLON","let max = 0;
for (let i = 0; i < 3; i = i + 1) {
    for (let j = 0; j < 0; j = j + 1) {
        max = max + 1;
    }
}
print(max);","medium"
"63","let value = 2;
let value = 2;
print(value);","Semantic","Variable 'value' already declared","2","REMOVE_LET_OR_RENAME","let value = 2;
value = 2;
print(value);","short"
"64","let temp = 0;
let temp = 0;
while (temp < 2) {
    for (let k = 0; k < 99; k = k + 1) {
        print(k);
    }
    temp = temp + 1;
}
print(temp);","Semantic","Variable 'temp' already declared","2","REMOVE_LET_OR_RENAME","let temp = 0;
temp = 0;
while (temp < 2) {
    for (let k = 0; k < 99; k = k + 1) {
        print(k);
    }
    temp = temp + 1;
}
print(temp);","long"
"65","let x = 0;
let x = 0;
while (x < 1) {
    if (x > 3) {
        print(x);
    }
    x = x + 1;
}","Semantic","Variable 'x' already declared","2","REMOVE_LET_OR_RENAME","let x = 0;
x = 0;
while (x < 1) {
    if (x > 3) {
        print(x);
    }
    x = x + 1;
}","medium"
"66","for (let value = 0; value < 42; value = value + 1) {
    if (value > 2) {
        print(value)
    }
}","Syntactic","Expected ';' after print statement","3","INSERT_SEMICOLON","for (let value = 0; value < 42; value = value + 1) {
    if (value > 2) {
        print(value);
    }
}","medium"
"67","let value = 99;
let max = 0;
while (max < value) {
    max = max + 1;

print(max);","Syntactic","Expected '}' to close block","5","INSERT_RBRACE","let value = 99;
let max = 0;
while (max < value) {
    max = max + 1;
}
print(max);","medium"
"68","let found = 0;
print(""hello);
    for (let k = 0; k < 3; k = k + 1) {
        print(k);
    }
    found = found + 1;
}
print(found);","Lexical","Unterminated string","2","INSERT_QUOTE","let found = 0;
print(""hello"");
    for (let k = 0; k < 3; k = k + 1) {
        print(k);
    }
    found = found + 1;
}
print(found);","medium"
"69","let i = [10, 20, 30, 40, 50];
let i = [10, 20, 30, 40, 50];
let player = 30;
let y = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (i[i] == player) {
        y = 1;
    }
}
if (y == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","Semantic","Variable 'i' already declared","2","REMOVE_LET_OR_RENAME","let i = [10, 20, 30, 40, 50];
i = [10, 20, 30, 40, 50];
let player = 30;
let y = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (i[i] == player) {
        y = 1;
    }
}
if (y == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","long"
"70","for (let temp = 0; temp < 10; temp = temp + 1 {
    let flag = temp * 42;
    print(flag);
}","Syntactic","Expected ')'","1","INSERT_RPAREN","for (let temp = 0; temp < 10; temp = temp + 1) {
    let flag = temp * 42;
    print(flag);
}","medium"
"71","let temp = 2;
let found = temp + 0;
print(found;","Syntactic","Expected ')'","3","INSERT_RPAREN","let temp = 2;
let found = temp + 0;
print(found);","short"
"72","let max = 42;
let max = 42;
let temp = 0;
while (temp < max) {
    temp = temp + 1;
}
print(temp);","Semantic","Variable 'max' already declared","2","REMOVE_LET_OR_RENAME","let max = 42;
max = 42;
let temp = 0;
while (temp < max) {
    temp = temp + 1;
}
print(temp);","medium"
"73","for (let y = 0; y < 0; y = y + 1) {
    if (y > 2) {
        print(y);
    }
print(""hello);","Lexical","Unterminated string","5","INSERT_QUOTE","for (let y = 0; y < 0; y = y + 1) {
    if (y > 2) {
        print(y);
    }
print(""hello"");","medium"
"74","let data = 10;
data[0] = 1;
if (data < 5) {
    print(""low"");
} else {
    print(""high"");
}","Semantic","'data' is not an array","2","MAKE_ARRAY","let data = [0, 0];
data[0] = 1;
if (data < 5) {
    print(""low"");
} else {
    print(""high"");
}","medium"
"75","for (let name = 0; name < 10; name = name + 1) {
    let j = name * 2`;
    print(j);
}","Lexical","Unexpected character '`'","2","DELETE_CHAR_AT_INDEX","for (let name = 0; name < 10; name = name + 1) {
    let j = name * 2;
    print(j);
}","medium"
"76","let sum = 0;
if (sum > 5) {
    let j = sum * 2;
    print(j);
} else {
    print(sum);
","Syntactic","Expected '}' to close block","7","INSERT_RBRACE","let sum = 0;
if (sum > 5) {
    let j = sum * 2;
    print(j);
} else {
    print(sum);
}","medium"
"77","let result = 5;
result[0] = 1;
let max = 0;
while (max < result) {
    max = max + 1;
}
print(max);","Semantic","'result' is not an array","2","MAKE_ARRAY","let result = [0, 0];
result[0] = 1;
let max = 0;
while (max < result) {
    max = max + 1;
}
print(max);","medium"
"78","let found = 7#;
if (found < 5) {
    print(""low"");
} else {
    print(""high"");
}","Lexical","Unexpected character '#'","1","DELETE_CHAR_AT_INDEX","let found = 7;
if (found < 5) {
    print(""low"");
} else {
    print(""high"");
}","medium"
"79","let arr = [99, 20, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let i = max;
print(i);
print(""hello);
    print(""Zero"");
}","Lexical","Unterminated string","10","INSERT_QUOTE","let arr = [99, 20, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let i = max;
print(i);
print(""hello"");
    print(""Zero"");
}","long"
"80","let arr = [10, 20, 30, 40, 50];
let arr = [10, 20, 30, 40, 50];
let value = 30;
let found = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (arr[i] == value) {
        found = 1;
    }
}
if (found == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","Semantic","Variable 'arr' already declared","2","REMOVE_LET_OR_RENAME","let arr = [10, 20, 30, 40, 50];
arr = [10, 20, 30, 40, 50];
let value = 30;
let found = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (arr[i] == value) {
        found = 1;
    }
}
if (found == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","long"
"81","let index = [10, 20, 30, 40, 50];
let count = 30;
let j = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (index[i] == count) {
        j = 1;
    }

if (j == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","Syntactic","Expected '}' to close block","8","INSERT_RBRACE","let index = [10, 20, 30, 40, 50];
let count = 30;
let j = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (index[i] == count) {
        j = 1;
    }
}
if (j == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","long"
"82","let flag = 1;
let x = 0;
while (x < flag) {
    x = x + 1;

print(x);","Syntactic","Expected '}' to close block","5","INSERT_RBRACE","let flag = 1;
let x = 0;
while (x < flag) {
    x = x + 1;
}
print(x);","medium"
"83","for (let temp = 0; temp < 10; temp = temp + 1) {
    let min = temp * 20
    print(min);
}","Syntactic","Expected ';' after variable declaration","2","INSERT_SEMICOLON","for (let temp = 0; temp < 10; temp = temp + 1) {
    let min = temp * 20;
    print(min);
}","medium"
"84","for (let count = 0; count < 10; count = count + 1 {
    let value = count * 7;
    print(value);
}","Syntactic","Expected ')'","1","INSERT_RPAREN","for (let count = 0; count < 10; count = count + 1) {
    let value = count * 7;
    print(value);
}","medium"
"85","let max = 42;
let size = max + 10;
print(size;","Syntactic","Expected ')'","3","INSERT_RPAREN","let max = 42;
let size = max + 10;
print(size);","short"
"86","let arr = 10;
arr[0] = 1;
if (arr > 5) {
    let result = arr * 2;
    print(result);
} else {
    print(arr);
}","Semantic","'arr' is not an array","2","MAKE_ARRAY","let arr = [0, 0];
arr[0] = 1;
if (arr > 5) {
    let result = arr * 2;
    print(result);
} else {
    print(arr);
}","medium"
"87","let max = [10, 20, 30, 40, 50];
let max = [10, 20, 30, 40, 50];
let k = 30;
let size = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (max[i] == k) {
        size = 1;
    }
}
if (size == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","Semantic","Variable 'max' already declared","2","REMOVE_LET_OR_RENAME","let max = [10, 20, 30, 40, 50];
max = [10, 20, 30, 40, 50];
let k = 30;
let size = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (max[i] == k) {
        size = 1;
    }
}
if (size == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","long"
"88","let j = 0;
for (let i = 0; i < 0; i = i + 1) {
    for (let j = 0; j < 99; j = j + 1) {
print(""hello);
    }
}
print(j);","Lexical","Unterminated string","4","INSERT_QUOTE","let j = 0;
for (let i = 0; i < 0; i = i + 1) {
    for (let j = 0; j < 99; j = j + 1) {
print(""hello"");
    }
}
print(j);","medium"
"89","let k = 15;
if (k < 5) {
    print(""low"");
} else {
    print(""high"")#;
}","Lexical","Unexpected character '#'","5","DELETE_CHAR_AT_INDEX","let k = 15;
if (k < 5) {
    print(""low"");
} else {
    print(""high"");
}","medium"
"90","let y = 3;
print(y)@;","Lexical","Unexpected character '@'","2","DELETE_CHAR_AT_INDEX","let y = 3;
print(y);","short"
"91","found = 0;
while (found < 42) {
    print(found);
    found = found + 1;
}","Semantic","Variable 'found' used before declaration","1","PREPEND_LET","let found = 0;
while (found < 42) {
    print(found);
    found = found + 1;
}","medium"
"92","print(""hello);
for (let i = 0; i < 10; i = i + 1) {
    for (let j = 0; j < 5; j = j + 1) {
        player = player + 1;
    }
}
print(player);","Lexical","Unterminated string","1","INSERT_QUOTE","print(""hello"");
for (let i = 0; i < 10; i = i + 1) {
    for (let j = 0; j < 5; j = j + 1) {
        player = player + 1;
    }
}
print(player);","medium"
